"hnf_intv_dirty";"type=0x5,eventid=0x1c"
"hnf_dir_snoops_sent";"type=0x5,eventid=0x8"
"rnid_s1_rdata_beats";"type=0xa,eventid=0x2"
"mxp_p1_dat_txflit_stall";"type=0x6,eventid=0x76"
"rnid_s1_wdata_beats";"type=0xa,eventid=0xd"
"hnf_slc_fill_invalid_way";"type=0x5,eventid=0xb"
"dtc_cycles";"type=0x3"
"mxp_p0_req_txflit_stall";"type=0x6,eventid=0x12"
"mxp_s_snp_partial_dat_flit";"type=0x6,eventid=0x4f"
"mxp_n_rsp_txflit_stall";"type=0x6,eventid=0x2a"
"hni_arvalid_no_arready";"type=0x4,eventid=0x2b"
"hnf_sf_hit";"type=0x5,eventid=0x6"
"mxp_w_snp_partial_dat_flit";"type=0x6,eventid=0x47"
